mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,target_max_mag,target_time_to_max_days
iscgem781373,1971-08-19 08:28:56.720000+00:00,24.007,121.911,6.05,30.8,0,0.0,0.0,0.0,0.0,0.0
iscgem781391,1971-08-19 22:15:40.350000+00:00,49.284,155.43,6.35,38.8,0,0.0,0.0,0.0,0.0,0.0
iscgem781421,1971-08-20 21:36:09.990000+00:00,13.32,-92.388,6.04,25.0,0,0.0,0.0,0.0,0.0,0.0
iscgem781503,1971-08-23 04:08:01.630000+00:00,-4.01,145.842,6.52,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem781531,1971-08-23 21:55:20.030000+00:00,45.663,150.833,6.13,38.6,0,0.0,0.0,0.0,0.0,0.0
iscgem779972,1971-09-05 18:35:29.570000+00:00,46.529,141.185,7.3,18.1,3,6.81,6.476666666666667,1494681609892907.2,6.51,19.01826099537037
iscgem780161,1971-09-09 23:01:11.670000+00:00,44.511,150.769,6.19,28.0,0,0.0,0.0,0.0,0.0,0.0
iscgem780171,1971-09-10 06:28:51.070000+00:00,-20.453,-174.21,6.04,21.1,0,0.0,0.0,0.0,0.0,0.0
iscgem780285,1971-09-14 03:03:40.900000+00:00,-7.348,156.067,6.11,47.0,0,0.0,0.0,0.0,0.0,0.0
iscgem780286,1971-09-14 03:11:05.470000+00:00,22.882,100.922,6.13,23.2,0,0.0,0.0,0.0,0.0,0.0
iscgem780288,1971-09-14 05:20:28.400000+00:00,-6.386,151.536,6.33,20.0,0,0.0,0.0,0.0,0.0,0.0
iscgem780560,1971-09-24 01:10:01.910000+00:00,39.38,143.331,6.31,21.0,0,0.0,0.0,0.0,0.0,0.0
iscgem780674,1971-09-27 22:20:01.620000+00:00,-3.25,148.34,6.27,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem780731,1971-09-30 08:17:59.310000+00:00,26.809,-110.914,6.5,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem780753,1971-09-30 21:31:24.260000+00:00,61.68,140.319,6.03,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem779005,1971-10-03 13:24:40.140000+00:00,-14.567,171.703,6.7,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem779023,1971-10-04 01:30:33.260000+00:00,-5.897,154.136,6.71,42.0,0,0.0,0.0,0.0,0.0,0.0
iscgem779325,1971-10-14 22:36:33.950000+00:00,-54.362,2.237,6.56,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem779410,1971-10-18 12:55:39.090000+00:00,-22.689,171.295,6.13,59.8,0,0.0,0.0,0.0,0.0,0.0
iscgem779543,1971-10-23 01:41:11.970000+00:00,-54.818,146.362,6.31,10.0,0,0.0,0.0,0.0,0.0,0.0
