window,threshold,margin,strength,cap,visible_mae,visible_rmse,visible_max_abs,visible_changed,oof_mae_delta,oof_rmse_delta,oof_high_mae_delta,oof_changed
T1,7.0,1.2,0.9,0.5,0.4650000000000002,0.5748912940721924,1.1000000000000005,13,-0.026375019350528772,-0.017368049875670977,-0.1588811648894689,395
T1,7.0,1.2,1.0,0.5,0.4750000000000002,0.5928743543112656,1.1000000000000005,13,-0.017996418527484126,-0.013622008409671427,-0.10860955995119725,395
T1,7.0,1.3,0.1,0.5,0.4000000000000001,0.5394441583704471,1.5999999999999996,4,-0.011016994659170942,-0.006076465249739815,-0.0667330167413206,302
T1,7.0,1.3,0.2,0.5,0.395,0.5296225070746143,1.4999999999999991,8,-0.020605472025426064,-0.011324634701169067,-0.12426388093885166,358
T1,7.0,1.3,0.3,0.5,0.39,0.5282045058497702,1.4999999999999991,11,-0.029000533753821056,-0.015685541233208866,-0.17463425130922194,374
T1,7.0,1.3,0.4,0.5,0.38500000000000006,0.5229722745997153,1.3999999999999995,11,-0.0355437436303645,-0.018921038818726643,-0.21389351056848138,380
T1,7.0,1.3,0.5,0.5,0.37000000000000005,0.5196152422706631,1.299999999999999,12,-0.04019394939168097,-0.021312321884171315,-0.24179474513638244,381
T1,7.0,1.3,0.6,0.5,0.3750000000000001,0.51234753829798,1.1999999999999993,13,-0.04138736502954132,-0.022406201498514022,-0.248955238963543,381
T1,7.0,1.3,0.7,0.5,0.3850000000000001,0.5113707070218239,1.0999999999999996,13,-0.04053962840402692,-0.022511773669720903,-0.24386881921045656,385
T1,7.0,1.3,0.8,0.5,0.4050000000000001,0.5296225070746144,1.0999999999999996,13,-0.03749436091431502,-0.02170559558478491,-0.22559721427218493,385
T1,7.0,1.3,0.9,0.5,0.43000000000000005,0.5468089245796927,1.0,13,-0.03267954609950019,-0.019797363079463004,-0.19670832538329608,385
T1,7.0,1.3,1.0,0.5,0.43000000000000005,0.5440588203494178,1.0,13,-0.026235101655055493,-0.016967093472098682,-0.15804165871662945,385
T1,7.0,1.4,0.1,0.5,0.4050000000000001,0.5454356057317857,1.5999999999999996,3,-0.010235101655055923,-0.005734628280000376,-0.06204165871662948,270
T1,7.0,1.4,0.2,0.5,0.4050000000000001,0.5463515351859094,1.5999999999999996,6,-0.019864731284685355,-0.010820705377617479,-0.11981943649440718,341
T1,7.0,1.4,0.3,0.5,0.385,0.5220153254455274,1.4999999999999991,8,-0.02723098642871813,-0.014858579758155521,-0.16401696735860471,357
T1,7.0,1.4,0.4,0.5,0.375,0.5103920062069937,1.3999999999999995,8,-0.03389765309538517,-0.018284958965496756,-0.20401696735860475,366
T1,7.0,1.4,0.5,0.5,0.375,0.521056618804521,1.3999999999999995,10,-0.03842440206657849,-0.020530884087488044,-0.2311774611857652,369
T1,7.0,1.4,0.6,0.5,0.37,0.503984126734166,1.299999999999999,11,-0.04146966955629039,-0.022212979944917333,-0.24944906612403683,375
T1,7.0,1.4,0.7,0.5,0.3650000000000001,0.49648766349225637,1.1999999999999993,11,-0.04229271482377994,-0.022895269837678534,-0.25438733772897515,377
T1,7.0,1.4,0.8,0.5,0.3700000000000001,0.49091750834534315,1.0999999999999996,11,-0.040482015235302704,-0.022627720419425845,-0.24352314019811094,377
T1,7.0,1.4,0.9,0.5,0.38500000000000006,0.5103920062069938,1.0999999999999996,11,-0.037370904124191195,-0.02154258663107589,-0.22485647353144422,377
T1,7.0,1.4,1.0,0.5,0.385,0.5034878350069641,0.9999999999999991,11,-0.03280300288962379,-0.019582908844832936,-0.1974490661240368,377
T1,7.0,1.5,0.1,0.5,0.4050000000000001,0.5454356057317857,1.5999999999999996,3,-0.009576665441063836,-0.005454013660956658,-0.05809104143267885,251
T1,7.0,1.5,0.2,0.5,0.4000000000000001,0.5412947441089744,1.5999999999999996,5,-0.018054031696208117,-0.01008386783617743,-0.10895523896354309,318
T1,7.0,1.5,0.3,0.5,0.39000000000000007,0.5263078946776306,1.4999999999999991,6,-0.025667200420487868,-0.014233633349278296,-0.15463425130922204,340
T1,7.0,1.5,0.4,0.5,0.38000000000000006,0.5196152422706631,1.4999999999999991,6,-0.03286884651102295,-0.01760617602217307,-0.19784412785243188,349
T1,7.0,1.5,0.5,0.5,0.37,0.5049752469181038,1.3999999999999995,7,-0.038095183959582446,-0.020254019244979382,-0.22920215254378984,352
T1,7.0,1.5,0.6,0.5,0.36,0.4949747468305831,1.299999999999999,8,-0.041099299185920035,-0.021960403898195313,-0.2472268439018147,356
T1,7.0,1.5,0.7,0.5,0.36,0.490917508345343,1.299999999999999,8,-0.04340382593489145,-0.02305215691457274,-0.26105400439564175,360
T1,7.0,1.5,0.8,0.5,0.36,0.48579831205964474,1.1999999999999993,8,-0.042827694247647985,-0.02325261919541033,-0.25759721427218496,360
